participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text
411,7444.0,intended,5.0,3.0,135.0,16.0,128.0,3141,3143
411,4162.0,intended,8.0,2.0,45.0,16.0,128.0,6998,6998
411,2568.0,intended,5.0,1.0,135.0,16.0,128.0,2622,2622
411,3085.0,intended,6.0,2.0,135.0,16.0,128.0,9892,9892
411,3378.0,intended,7.0,2.0,90.0,16.0,128.0,9239,9239
411,3017.0,intended,8.0,1.0,135.0,16.0,128.0,3486,3486
411,2859.0,intended,7.0,1.0,90.0,16.0,128.0,8782,8782
411,2949.0,intended,7.0,4.0,90.0,16.0,128.0,1577,1577
411,2904.0,intended,8.0,4.0,90.0,16.0,128.0,3789,3789
411,3108.0,intended,1.0,0.0,0.0,16.0,128.0,1074,1074
411,2452.0,intended,3.0,2.0,90.0,16.0,128.0,2499,2499
411,3560.0,intended,4.0,3.0,90.0,16.0,128.0,5962,5962
411,3667.0,intended,8.0,2.0,135.0,16.0,128.0,9758,9758
411,4344.0,intended,4.0,2.0,90.0,16.0,128.0,5315,5313
411,2343.0,intended,7.0,1.0,135.0,16.0,128.0,2128,2128
411,3060.0,intended,7.0,3.0,45.0,16.0,128.0,2710,2710
411,3221.0,intended,4.0,1.0,90.0,16.0,128.0,5075,5075
411,3019.0,intended,1.0,0.0,0.0,16.0,128.0,5479,5479
411,2657.0,intended,6.0,3.0,45.0,16.0,128.0,3012,3012
411,2998.0,intended,8.0,3.0,90.0,16.0,128.0,6838,6838
411,2586.0,intended,5.0,1.0,90.0,16.0,128.0,6101,6101
411,3385.0,intended,6.0,1.0,45.0,16.0,128.0,1964,1964
411,2989.0,intended,4.0,2.0,135.0,16.0,128.0,6575,6575
411,2679.0,intended,7.0,2.0,135.0,16.0,128.0,3532,3532
411,4367.0,intended,5.0,3.0,90.0,16.0,128.0,1558,1558
411,2949.0,intended,8.0,1.0,45.0,16.0,128.0,9839,9839
411,2813.0,intended,7.0,3.0,135.0,16.0,128.0,1535,1535
411,2387.0,intended,6.0,3.0,135.0,16.0,128.0,2293,2293
411,2771.0,intended,8.0,2.0,90.0,16.0,128.0,7186,7186
411,2363.0,intended,5.0,2.0,90.0,16.0,128.0,5807,5807
411,2298.0,intended,7.0,3.0,90.0,16.0,128.0,4101,4101
411,2186.0,intended,6.0,2.0,90.0,16.0,128.0,8892,8892
411,3109.0,intended,6.0,1.0,135.0,16.0,128.0,3829,3829
411,2340.0,intended,7.0,1.0,45.0,16.0,128.0,4802,4802
411,2050.0,intended,1.0,0.0,0.0,16.0,128.0,1899,1899
411,2478.0,intended,6.0,3.0,90.0,16.0,128.0,2056,2056
411,2684.0,intended,6.0,1.0,90.0,16.0,128.0,6116,6116
411,2386.0,intended,7.0,2.0,45.0,16.0,128.0,6192,6192
411,2638.0,intended,8.0,3.0,45.0,16.0,128.0,4336,4336
411,2541.0,intended,6.0,2.0,45.0,16.0,128.0,8824,8824
411,3109.0,intended,5.0,2.0,135.0,16.0,128.0,8524,8524
411,3377.0,intended,8.0,3.0,135.0,16.0,128.0,9372,9372
411,6505.0,100cm,8.0,1.0,135.0,16.0,128.0,5598,5398
411,7542.0,100cm,5.0,2.0,135.0,16.0,128.0,5904,3964
411,3013.0,100cm,6.0,3.0,135.0,16.0,128.0,8707,1354
411,1421.0,100cm,4.0,3.0,90.0,16.0,128.0,3186,
411,3183.0,100cm,8.0,3.0,45.0,16.0,128.0,1938,
411,5474.0,100cm,6.0,2.0,135.0,16.0,128.0,8317,5371
411,3827.0,100cm,5.0,2.0,90.0,16.0,128.0,3706,2796
411,6034.0,100cm,8.0,3.0,90.0,16.0,128.0,2576,2556
411,2926.0,100cm,7.0,1.0,135.0,16.0,128.0,8358,8558
411,4099.0,100cm,7.0,2.0,135.0,16.0,128.0,2095,2095
411,2971.0,100cm,6.0,2.0,90.0,16.0,128.0,5767,5757
411,2705.0,100cm,3.0,2.0,90.0,16.0,128.0,1312,1312
411,5311.0,100cm,6.0,3.0,45.0,16.0,128.0,4060,4521
411,7160.0,100cm,4.0,2.0,135.0,16.0,128.0,7305,7305
411,10353.0,100cm,7.0,3.0,90.0,16.0,128.0,3964,5956
411,5222.0,100cm,1.0,0.0,0.0,16.0,128.0,5484,5484
411,5313.0,100cm,7.0,1.0,45.0,16.0,128.0,3558,3558
411,4864.0,100cm,4.0,2.0,90.0,16.0,128.0,6700,5400
411,3107.0,100cm,7.0,1.0,90.0,16.0,128.0,1360,1350
411,2640.0,100cm,5.0,3.0,90.0,16.0,128.0,6586,
411,4168.0,100cm,7.0,3.0,135.0,16.0,128.0,8997,6551
411,4662.0,100cm,8.0,2.0,135.0,16.0,128.0,8160,1160
