scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.05
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.1
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.15
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.2
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.25
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.3
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.35
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.4
0.75,150,PORSTUVWHYZ,0.34615384615384615,ABCDEFGHIIKLMNOPORSTUVWXYZ,0.9230769230769231,4,0.45
0.75,150,,0.0,ABCDEFGHUKLENOPORSTUVWXYZ,0.8461538461538461,4,0.5
0.75,150,,0.0,ABCDEFGHUKLENOPORSTUVWXYZ,0.8461538461538461,4,0.55
0.75,150,,0.0,ABCDEFGHUKLENOPORSTUVWXYZ,0.8461538461538461,4,0.6
0.75,150,,0.0,ABCDEFGHUKLENOPORSTUVWXYZ,0.8461538461538461,4,0.65
0.75,150,,0.0,ABCDEFGHUKLENOPORSTUVWXYZ,0.8461538461538461,4,0.7
0.75,150,ABCDEFGHLIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8846153846153846,6,0.05
0.75,150,ABCDEFGHLIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8846153846153846,6,0.1
0.75,150,ABCDEFGHLIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8846153846153846,6,0.15
0.75,150,ABCDEFGHLIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8846153846153846,6,0.2
0.75,150,ABCDEFGHLIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8846153846153846,6,0.25
